INDE,IDA,IEG,IAA,IPS,IPP,IAN,IPV,year,perception_gap,behavioral_score,relative_performance,risk_gap
7.883752,7.0,8.7,8.500020000000001,7.5,5.9375,10.0,7.75,2020,1.500020000000001,8.1,0.36524586113170265,0
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.856389666666666,5.5,8.9,7.91667,7.5,8.125,10.0,8.111113333333334,2020,2.41667,8.2,-1.1347541388682973,0
5.076252,0.0,4.1,8.000020000000001,6.875,7.1875,5.0,7.75,2020,8.000020000000001,5.4875,-6.634754138868297,1
8.077085,7.5,8.0,7.50002,7.5,8.4375,10.0,8.166665,2020,2.0000000000131024e-05,7.75,0.8652458611317027,0
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
8.381390666666666,7.333333333333333,9.9,8.33334,4.375,8.749999999999998,10.0,8.94445,2020,1.0000066666666667,7.1375,0.6985791944650357,0
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
5.1618745,0.0,5.2,5.83333,3.75,7.96875,10.0,6.8333325,2020,5.83333,4.475,-6.634754138868297,0
9.712504,10.0,10.0,9.000020000000001,8.125,10.0,10.0,10.00001,2020,-0.999979999999999,9.0625,3.3652458611317027,0
5.838887333333334,6.666666666666667,6.0,6.25,5.625,5.624999999999999,5.0,5.277770000000001,2020,-0.41666666666666696,5.8125,0.031912527798369617,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
6.434585,0.0,7.6,8.000020000000001,6.875,8.4375,10.0,7.916665,2020,8.000020000000001,7.2375,-6.634754138868297,0
5.162502,0.0,4.0,8.500020000000001,7.5,8.125,5.0,7.25,2020,8.500020000000001,5.75,-6.634754138868297,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.766252,10.0,6.8,9.50002,7.5,6.5625,5.0,7.75,2020,-0.49998000000000076,7.15,3.3652458611317027,1
7.2055576666666665,6.5,7.0,9.58335,7.5,7.083333333333334,5.0,7.944446666666665,2020,3.0833499999999994,7.25,-0.13475413886829735,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
9.354725666666669,9.0,9.6,9.58335,6.875,10.0,10.0,9.944453333333334,2020,0.5833499999999994,8.2375,2.3652458611317027,0
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.125001,4.75,10.0,7.916679999999999,7.5,2.5,10.0,6.916665,2020,3.1666799999999986,8.75,-1.8847541388682973,0
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.580834333333334,7.0,8.5,8.75001,7.5,7.5,5.0,7.583335,2020,1.7500099999999996,8.0,0.36524586113170265,1
7.013888333333334,8.666666666666666,4.5,6.66667,7.5,7.083333333333334,10.0,6.277773333333332,2020,-1.9999966666666662,6.0,2.0319125277983687,0
7.698890666666667,7.0,9.3,8.500020000000001,6.875,8.125,5.0,7.944443333333334,2020,1.500020000000001,8.0875,0.36524586113170265,1
6.64396,5.0,6.1,8.75001,6.25,7.65625,5.0,8.29167,2020,3.7500099999999996,6.175,-1.6347541388682973,1
